Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
CL7591,4299,2149,50,Adidas CORE / NEO,4.4,23
CK9831,2799,1399,50,Adidas SPORT PERFORMANCE,3.3,70
EF2508,6599,3959,40,Adidas ORIGINALS,4.9,42
CL7495,4599,2299,50,Adidas CORE / NEO,3.8,77
EE5592,10999,6599,40,Adidas ORIGINALS,4.1,52
EE5398,7999,4799,40,Adidas ORIGINALS,4.5,92
EE5304,12999,7799,40,Adidas ORIGINALS,4.5,29
EE7242,7999,4799,40,Adidas ORIGINALS,4.5,93
CM0064,1499,749,50,Adidas CORE / NEO,2.6,24
EE7885,6599,3959,40,Adidas CORE / NEO,2.2,1
CM0049,1499,899,40,Adidas CORE / NEO,2.4,83
CL7548,4799,2399,50,Adidas CORE / NEO,3.9,68
CK1088,5599,2799,50,Adidas SPORT PERFORMANCE,3.5,73
CL7263,4999,2499,50,Adidas CORE / NEO,3.6,50
CL7483,4599,2299,50,Adidas CORE / NEO,5,61
F34340,6599,3299,50,Adidas CORE / NEO,2.2,35
CL7590,4299,2149,50,Adidas CORE / NEO,4.4,98
CM0030,4599,2299,50,Adidas SPORT PERFORMANCE,4,49
CL7468,5599,2799,50,Adidas CORE / NEO,1.5,50
EE8076,5599,3359,40,Adidas CORE / NEO,2.9,52
CM5955,2999,2999,0,Adidas SPORT PERFORMANCE,3.4,91
B44870,2999,2999,0,Adidas CORE / NEO,4.7,51
CL7265,4999,2499,50,Adidas CORE / NEO,2.5,81
CL7484,4599,2299,50,Adidas CORE / NEO,3.7,48
CL7537,5999,3599,40,Adidas CORE / NEO,3.6,98
EE8088,4599,2759,40,Adidas CORE / NEO,4.2,9
CL7577,5599,2799,50,Adidas CORE / NEO,1.5,35
CM0058,1299,779,40,Adidas CORE / NEO,4.3,78
EE7698,4999,2999,40,Adidas CORE / NEO,1,90
CM0009,5999,2999,50,Adidas SPORT PERFORMANCE,4.8,15
EE7884,6999,4199,40,Adidas CORE / NEO,2.5,2
F36922,7999,3999,50,Adidas SPORT PERFORMANCE,2.7,78
DB3114,7599,3799,50,Adidas ORIGINALS,1.5,47
F36217,4999,2499,50,Adidas CORE / NEO,4.7,24
EE8272,4999,2999,40,Adidas CORE / NEO,4.6,35
CL7538,4999,2499,50,Adidas CORE / NEO,3.1,73
EF0695,7999,4799,40,Adidas ORIGINALS,3.8,43
DB3599,9999,4999,50,Adidas ORIGINALS,4.4,35
CL7321,3599,2159,40,Adidas CORE / NEO,4.7,53
DB2117,7999,3999,50,Adidas ORIGINALS,4.9,83
EE4698,6599,3959,40,Adidas ORIGINALS,2.8,45
B28166,7999,3999,50,Adidas ORIGINALS,4.3,66
DB3259,7599,3799,50,Adidas ORIGINALS,4.9,75
EE5534,7999,4799,40,Adidas ORIGINALS,2,94
EF0811,7999,3999,50,Adidas SPORT PERFORMANCE,3.3,6
CK9723,3799,1899,50,Adidas CORE / NEO,1,65
CL7322,3599,2159,40,Adidas CORE / NEO,4.5,36
CG6021,11999,5999,50,Adidas ORIGINALS,2.8,25
CG6188,13999,6999,50,Adidas ORIGINALS,3.3,8
BD7685,7999,3999,50,Adidas ORIGINALS,3.2,75
BD7475,7599,3799,50,Adidas ORIGINALS,4.3,94
EF9226,7599,4559,40,Adidas ORIGINALS,3.7,57
F34668,6599,3299,50,Adidas CORE / NEO,1,77
EE8257,3799,2279,40,Adidas CORE / NEO,3.2,26
B37973,11999,5999,50,Adidas ORIGINALS,4.1,37
EE7068,7599,4559,40,Adidas ORIGINALS,0,24
EH1363,5999,5999,0,Adidas CORE / NEO,2.4,6
EE5772,8999,5399,40,Adidas ORIGINALS,1.5,84
CG6104,7999,3999,50,Adidas ORIGINALS,3.1,7
EF2437,17999,8999,50,Adidas ORIGINALS,2.2,25
CM0070,1299,779,40,Adidas CORE / NEO,5,99
D96760,11999,5999,50,Adidas ORIGINALS,3.4,9
CM0077,1299,779,40,Adidas CORE / NEO,3.5,35
CM0091,1499,749,50,Adidas CORE / NEO,3,25
CL7550,4799,2399,50,Adidas CORE / NEO,1,13
F36675,3999,2399,40,Adidas CORE / NEO,4.7,45
EF1065,6599,3959,40,Adidas CORE / NEO,3.4,34
EH1361,5999,5999,0,Adidas CORE / NEO,2.2,13
CL0243,1299,649,50,Adidas CORE / NEO,5,60
CG6177,13999,6999,50,Adidas ORIGINALS,3.9,91
FV3288,7999,7999,0,Adidas ORIGINALS,2.4,33
EE4949,11999,7199,40,Adidas ORIGINALS,2,39
BB2344,9999,4000,60,Adidas ORIGINALS,3.9,34
EE6080,5999,2999,50,Adidas ORIGINALS,1,67
EE6047,7999,4799,40,Adidas ORIGINALS,3.6,83
EF0078,7599,4559,40,Adidas CORE / NEO,2.2,49
EE5565,7999,4799,40,Adidas ORIGINALS,3.2,64
EF4965,7999,7999,0,Adidas ORIGINALS,4,18
EE4946,11999,7199,40,Adidas ORIGINALS,0,74
B37090,9999,4999,50,Adidas ORIGINALS,4.2,81
F36516,4299,2579,40,Adidas CORE / NEO,3.5,30
DB3112,5999,2999,50,Adidas ORIGINALS,3.4,64
EH1366,5999,5999,0,Adidas CORE / NEO,4.8,72
CG6164,7999,3999,50,Adidas ORIGINALS,3.3,87
EE4959,11999,7199,40,Adidas ORIGINALS,2.7,43
EF2438,17999,10799,40,Adidas ORIGINALS,3.7,15
F35567,6999,3499,50,Adidas CORE / NEO,2.8,81
EE8165,5599,3359,40,Adidas CORE / NEO,2.9,54
EE5846,6599,3959,40,Adidas ORIGINALS,5,15
F34846,5599,2799,50,Adidas CORE / NEO,0,17
B41663,7999,3999,50,Adidas ORIGINALS,3.2,30
CK9690,4299,2149,50,Adidas CORE / NEO,3.2,73
EE7927,6599,3299,50,Adidas CORE / NEO,2.2,27
CK9688,4999,2499,50,Adidas CORE / NEO,3.2,43
CK9424,5299,2649,50,Adidas CORE / NEO,3,49
CK9430,5599,2799,50,Adidas CORE / NEO,2.6,80
CG6228,11999,5999,50,Adidas ORIGINALS,3.1,65
DB3600,9999,4999,50,Adidas ORIGINALS,2.7,87
EE9892,8999,4499,50,Adidas CORE / NEO,3.5,43
CL7461,4599,2299,50,Adidas CORE / NEO,2.9,58
CK9678,4999,2499,50,Adidas CORE / NEO,1.5,0
CK9696,4599,2299,50,Adidas CORE / NEO,4.1,94
CK9695,4599,2299,50,Adidas CORE / NEO,2,52
CK9683,4999,2499,50,Adidas CORE / NEO,4.6,39
CK9692,4999,2499,50,Adidas CORE / NEO,3.8,21
EE7919,5999,2999,50,Adidas CORE / NEO,4.3,87
CL7517,5299,2649,50,Adidas CORE / NEO,2.7,42
CK9698,4599,2299,50,Adidas CORE / NEO,4.7,8
CK9418,5599,2799,50,Adidas CORE / NEO,2.7,74
EF0322,12999,7799,40,Adidas ORIGINALS,2.5,23
CK9427,5299,2649,50,Adidas CORE / NEO,5,59
EF0437,5599,3359,40,Adidas CORE / NEO,4.2,89
EF0435,5599,2799,50,Adidas CORE / NEO,2.4,99
